table_name,column_name,data_type,udt_name,is_nullable,column_default
active_markets,id,uuid,uuid,YES,null
active_markets,vertical_id,text,text,YES,null
active_markets,vendor_profile_id,uuid,uuid,YES,null
active_markets,name,text,text,YES,null
active_markets,market_type,text,text,YES,null
active_markets,address,text,text,YES,null
active_markets,city,text,text,YES,null
active_markets,state,text,text,YES,null
active_markets,zip,text,text,YES,null
active_markets,day_of_week,integer,int4,YES,null
active_markets,start_time,time without time zone,time,YES,null
active_markets,end_time,time without time zone,time,YES,null
active_markets,status,text,text,YES,null
active_markets,created_at,timestamp with time zone,timestamptz,YES,null
active_markets,updated_at,timestamp with time zone,timestamptz,YES,null
active_markets,active,boolean,bool,YES,null
active_markets,contact_email,text,text,YES,null
active_markets,submitted_by,uuid,uuid,YES,null
active_markets,submitted_at,timestamp with time zone,timestamptz,YES,null
active_markets,reviewed_by,uuid,uuid,YES,null
active_markets,reviewed_at,timestamp with time zone,timestamptz,YES,null
active_markets,rejection_reason,text,text,YES,null
active_markets,latitude,numeric,numeric,YES,null
active_markets,longitude,numeric,numeric,YES,null
active_markets,geocoding_failed,boolean,bool,YES,null
active_markets,contact_phone,text,text,YES,null
active_markets,timezone,text,text,YES,null
active_markets,cutoff_hours,integer,int4,YES,null
active_markets,season_start,date,date,YES,null
active_markets,season_end,date,date,YES,null
active_markets,approval_status,USER-DEFINED,market_approval_status,YES,null
active_markets,submitted_by_vendor_id,uuid,uuid,YES,null
active_markets,description,text,text,YES,null
active_markets,website,text,text,YES,null
active_markets,vendor_sells_at_market,boolean,bool,YES,null
active_markets,expires_at,timestamp with time zone,timestamptz,YES,null
admin_activity_log,id,uuid,uuid,NO,uuid_generate_v4()
admin_activity_log,action,text,text,NO,null
admin_activity_log,target_user_id,uuid,uuid,NO,null
admin_activity_log,performed_by,uuid,uuid,NO,null
admin_activity_log,vertical_id,text,text,YES,null
admin_activity_log,details,jsonb,jsonb,YES,null
admin_activity_log,created_at,timestamp with time zone,timestamptz,NO,now()
audit_log,id,uuid,uuid,NO,uuid_generate_v4()
audit_log,user_id,uuid,uuid,YES,null
audit_log,action,text,text,NO,null
audit_log,table_name,text,text,NO,null
audit_log,record_id,uuid,uuid,YES,null
audit_log,old_data,jsonb,jsonb,YES,null
audit_log,new_data,jsonb,jsonb,YES,null
audit_log,ip_address,inet,inet,YES,null
audit_log,user_agent,text,text,YES,null
audit_log,created_at,timestamp with time zone,timestamptz,YES,now()
booth_booking_groups,id,uuid,uuid,NO,gen_random_uuid()
booth_booking_groups,vendor_profile_id,uuid,uuid,NO,null
booth_booking_groups,market_id,uuid,uuid,NO,null
booth_booking_groups,inventory_id,uuid,uuid,NO,null
booth_booking_groups,season_id,uuid,uuid,YES,null
booth_booking_groups,kind,text,text,NO,null
booth_booking_groups,week_count,integer,int4,NO,null
booth_booking_groups,total_vendor_cents,integer,int4,NO,null
booth_booking_groups,total_manager_cents,integer,int4,NO,null
booth_booking_groups,purchase_date,date,date,YES,null
booth_booking_groups,status,text,text,NO,'pending_payment'::text
booth_booking_groups,stripe_checkout_session_id,text,text,YES,null
booth_booking_groups,stripe_payment_intent_id,text,text,YES,null
booth_booking_groups,agreement_acceptance_id,uuid,uuid,YES,null
booth_booking_groups,created_at,timestamp with time zone,timestamptz,NO,now()
booth_booking_groups,updated_at,timestamp with time zone,timestamptz,NO,now()
booth_credits,id,uuid,uuid,NO,gen_random_uuid()
booth_credits,vendor_profile_id,uuid,uuid,NO,null
booth_credits,market_id,uuid,uuid,NO,null
booth_credits,amount_cents,integer,int4,NO,null
booth_credits,source,text,text,NO,null
booth_credits,related_group_id,uuid,uuid,YES,null
booth_credits,note,text,text,YES,null
booth_credits,expires_at,timestamp with time zone,timestamptz,YES,null
booth_credits,created_at,timestamp with time zone,timestamptz,NO,now()
booth_credits,related_rental_id,uuid,uuid,YES,null
booth_credits,related_park_booking_id,uuid,uuid,YES,null
buyer_achievements,id,uuid,uuid,NO,gen_random_uuid()
buyer_achievements,user_id,uuid,uuid,NO,null
buyer_achievements,vertical_id,text,text,NO,null
buyer_achievements,badge_key,text,text,NO,null
buyer_achievements,vendor_profile_id,uuid,uuid,YES,null
buyer_achievements,earned_at,timestamp with time zone,timestamptz,NO,now()
buyer_achievements,context,jsonb,jsonb,YES,null
buyer_achievements,notified_at,timestamp with time zone,timestamptz,YES,null
buyer_achievements,created_at,timestamp with time zone,timestamptz,NO,now()
buyer_interests,id,uuid,uuid,NO,gen_random_uuid()
buyer_interests,vertical_id,text,text,NO,'food_trucks'::text
buyer_interests,email,text,text,YES,null
buyer_interests,phone,text,text,YES,null
buyer_interests,zip_code,text,text,YES,null
buyer_interests,city,text,text,YES,null
buyer_interests,source,text,text,NO,'browse_empty'::text
buyer_interests,created_at,timestamp with time zone,timestamptz,NO,now()
buyer_search_log,id,uuid,uuid,NO,gen_random_uuid()
buyer_search_log,zip_code,text,text,YES,null
buyer_search_log,vertical_id,text,text,YES,null
buyer_search_log,results_count,integer,int4,NO,0
buyer_search_log,search_type,text,text,NO,null
buyer_search_log,created_at,timestamp with time zone,timestamptz,NO,now()
cart_items,id,uuid,uuid,NO,gen_random_uuid()
cart_items,cart_id,uuid,uuid,NO,null
cart_items,listing_id,uuid,uuid,YES,null
cart_items,quantity,integer,int4,NO,null
cart_items,created_at,timestamp with time zone,timestamptz,NO,now()
cart_items,updated_at,timestamp with time zone,timestamptz,NO,now()
cart_items,market_id,uuid,uuid,YES,null
cart_items,schedule_id,uuid,uuid,YES,null
cart_items,pickup_date,date,date,YES,null
cart_items,item_type,text,text,NO,'listing'::text
cart_items,offering_id,uuid,uuid,YES,null
cart_items,term_weeks,integer,int4,YES,null
cart_items,start_date,date,date,YES,null
cart_items,preferred_pickup_time,time without time zone,time,YES,null
carts,id,uuid,uuid,NO,gen_random_uuid()
carts,user_id,uuid,uuid,NO,null
carts,vertical_id,text,text,NO,null
carts,created_at,timestamp with time zone,timestamptz,NO,now()
carts,updated_at,timestamp with time zone,timestamptz,NO,now()
catering_requests,id,uuid,uuid,NO,gen_random_uuid()
catering_requests,vertical_id,text,text,NO,'food_trucks'::text
catering_requests,status,text,text,NO,'new'::text
catering_requests,company_name,text,text,NO,null
catering_requests,contact_name,text,text,NO,null
catering_requests,contact_email,text,text,NO,null
catering_requests,contact_phone,text,text,YES,null
catering_requests,event_date,date,date,NO,null
catering_requests,event_end_date,date,date,YES,null
catering_requests,event_start_time,time without time zone,time,YES,null
catering_requests,event_end_time,time without time zone,time,YES,null
catering_requests,headcount,integer,int4,NO,null
catering_requests,address,text,text,YES,null
catering_requests,city,text,text,NO,null
catering_requests,state,text,text,NO,null
catering_requests,zip,text,text,NO,null
catering_requests,cuisine_preferences,text,text,YES,null
catering_requests,dietary_notes,text,text,YES,null
catering_requests,budget_notes,text,text,YES,null
catering_requests,vendor_count,integer,int4,YES,2
catering_requests,setup_instructions,text,text,YES,null
catering_requests,additional_notes,text,text,YES,null
catering_requests,market_id,uuid,uuid,YES,null
catering_requests,admin_notes,text,text,YES,null
catering_requests,created_at,timestamp with time zone,timestamptz,NO,now()
catering_requests,updated_at,timestamp with time zone,timestamptz,NO,now()
catering_requests,event_token,text,text,YES,null
catering_requests,event_type,text,text,YES,null
catering_requests,payment_model,text,text,YES,null
catering_requests,total_food_budget_cents,integer,int4,YES,null
catering_requests,expected_meal_count,integer,int4,YES,null
catering_requests,beverages_provided,boolean,bool,YES,false
catering_requests,dessert_provided,boolean,bool,YES,false
catering_requests,is_recurring,boolean,bool,YES,false
catering_requests,recurring_frequency,text,text,YES,null
catering_requests,per_meal_budget_cents,integer,int4,YES,null
catering_requests,competing_food_options,text,text,YES,null
catering_requests,is_ticketed,boolean,bool,YES,false
catering_requests,estimated_dwell_hours,numeric,numeric,YES,null
catering_requests,service_level,text,text,YES,'full_service'::text
catering_requests,auto_invite_sent_at,timestamp with time zone,timestamptz,YES,null
catering_requests,organizer_user_id,uuid,uuid,YES,null
catering_requests,vendor_preferences,jsonb,jsonb,YES,null
catering_requests,children_present,boolean,bool,NO,false
catering_requests,is_themed,boolean,bool,NO,false
catering_requests,theme_description,text,text,YES,null
catering_requests,has_competing_vendors,boolean,bool,NO,false
catering_requests,estimated_spend_per_attendee_cents,integer,int4,YES,null
catering_requests,preferred_vendor_categories,ARRAY,_text,YES,null
catering_requests,vendor_stay_policy,text,text,YES,null
catering_requests,access_code,text,text,YES,null
catering_requests,company_max_per_attendee_cents,integer,int4,YES,null
catering_requests,selection_email_sent_at,timestamp with time zone,timestamptz,YES,null
catering_requests,event_setting,text,text,YES,null
catering_requests,address_reminder_sent_at,timestamp with time zone,timestamptz,YES,null
catering_requests,event_vendor_fee_cents,integer,int4,YES,null
catering_requests,background_check_required,boolean,bool,YES,null
catering_requests,background_check_details,text,text,YES,null
