source_table,source_column,target_table,target_column,constraint_name
admin_activity_log,vertical_id,verticals,vertical_id,admin_activity_log_vertical_id_fkey
audit_log,user_id,user_profiles,id,audit_log_user_id_fkey
booth_booking_groups,agreement_acceptance_id,vendor_market_agreement_acceptances,id,booth_booking_groups_agreement_acceptance_id_fkey
booth_booking_groups,inventory_id,market_booth_inventory,id,booth_booking_groups_inventory_id_fkey
booth_booking_groups,market_id,markets,id,booth_booking_groups_market_id_fkey
booth_booking_groups,season_id,market_seasons,id,booth_booking_groups_season_id_fkey
booth_booking_groups,vendor_profile_id,vendor_profiles,id,booth_booking_groups_vendor_profile_id_fkey
booth_credits,market_id,markets,id,booth_credits_market_id_fkey
booth_credits,related_group_id,booth_booking_groups,id,booth_credits_related_group_id_fkey
booth_credits,related_park_booking_id,park_spot_bookings,id,booth_credits_related_park_booking_id_fkey
booth_credits,related_rental_id,weekly_booth_rentals,id,booth_credits_related_rental_id_fkey
booth_credits,vendor_profile_id,vendor_profiles,id,booth_credits_vendor_profile_id_fkey
buyer_achievements,vendor_profile_id,vendor_profiles,id,buyer_achievements_vendor_profile_id_fkey
buyer_achievements,vertical_id,verticals,vertical_id,buyer_achievements_vertical_id_fkey
buyer_interests,vertical_id,verticals,vertical_id,buyer_interests_vertical_id_fkey
buyer_search_log,vertical_id,verticals,vertical_id,buyer_search_log_vertical_id_fkey
cart_items,cart_id,carts,id,cart_items_cart_id_fkey
cart_items,listing_id,listings,id,cart_items_listing_id_fkey
cart_items,market_id,markets,id,cart_items_market_id_fkey
cart_items,offering_id,market_box_offerings,id,cart_items_offering_id_fkey
cart_items,schedule_id,market_schedules,id,cart_items_schedule_id_fkey
carts,vertical_id,verticals,vertical_id,carts_vertical_id_fkey
catering_requests,market_id,markets,id,catering_requests_market_id_fkey
catering_requests,vertical_id,verticals,vertical_id,catering_requests_vertical_id_fkey
cause_campaigns,beneficiary_id,cause_beneficiaries,id,cause_campaigns_beneficiary_id_fkey
cause_campaigns,vertical_id,verticals,vertical_id,cause_campaigns_vertical_id_fkey
cause_ledger,beneficiary_id,cause_beneficiaries,id,cause_ledger_beneficiary_id_fkey
cause_ledger,order_id,orders,id,cause_ledger_order_id_fkey
cause_ledger,remittance_id,cause_remittances,id,cause_ledger_remittance_id_fkey
cause_remittances,beneficiary_id,cause_beneficiaries,id,cause_remittances_beneficiary_id_fkey
error_logs,vertical_id,verticals,vertical_id,error_logs_vertical_id_fkey
error_reports,resolution_id,error_resolutions,id,error_reports_resolution_id_fkey
error_reports,vertical_id,verticals,vertical_id,error_reports_vertical_id_fkey
event_change_requests,catering_request_id,catering_requests,id,event_change_requests_catering_request_id_fkey
event_company_payments,catering_request_id,catering_requests,id,event_company_payments_catering_request_id_fkey
event_company_payments,market_id,markets,id,event_company_payments_market_id_fkey
event_ratings,catering_request_id,catering_requests,id,event_ratings_catering_request_id_fkey
event_vendor_fee_payments,catering_request_id,catering_requests,id,event_vendor_fee_payments_catering_request_id_fkey
event_vendor_fee_payments,covering_payment_id,event_vendor_fee_payments,id,event_vendor_fee_payments_covering_payment_id_fkey
event_vendor_fee_payments,market_id,markets,id,event_vendor_fee_payments_market_id_fkey
event_vendor_fee_payments,vendor_profile_id,vendor_profiles,id,event_vendor_fee_payments_vendor_profile_id_fkey
event_vendor_listings,listing_id,listings,id,event_vendor_listings_listing_id_fkey
event_vendor_listings,market_id,markets,id,event_vendor_listings_market_id_fkey
event_vendor_listings,vendor_profile_id,vendor_profiles,id,event_vendor_listings_vendor_profile_id_fkey
event_wave_reservations,market_id,markets,id,event_wave_reservations_market_id_fkey
