table_name,constraint_name,check_clause
booth_booking_groups,booth_booking_groups_kind_check,"(kind = ANY (ARRAY['season'::text, 'partial'::text]))"
booth_booking_groups,booth_booking_groups_status_check,"(status = ANY (ARRAY['pending_payment'::text, 'paid'::text, 'cancelled'::text]))"
booth_booking_groups,booth_booking_groups_total_manager_cents_check,(total_manager_cents >= 0)
booth_booking_groups,booth_booking_groups_total_vendor_cents_check,(total_vendor_cents >= 0)
booth_booking_groups,booth_booking_groups_week_count_check,(week_count > 0)
booth_credits,booth_credits_source_check,"(source = ANY (ARRAY['season_settlement'::text, 'vendor_cancel_pre'::text, 'vendor_cancel_post'::text, 'redeemed'::text, 'expired'::text, 'park_date_cancel'::text]))"
buyer_interests,buyer_interests_has_contact,((email IS NOT NULL) OR (phone IS NOT NULL))
buyer_search_log,buyer_search_log_search_type_check,"(search_type = ANY (ARRAY['markets'::text, 'vendors'::text]))"
cart_items,cart_items_item_type_check,"(item_type = ANY (ARRAY['listing'::text, 'market_box'::text]))"
cart_items,cart_items_quantity_check,(quantity > 0)
cart_items,cart_items_term_weeks_check,"((term_weeks IS NULL) OR (term_weeks = ANY (ARRAY[4, 8])))"
cart_items,cart_items_type_fields_check,(((item_type = 'listing'::text) AND (listing_id IS NOT NULL)) OR ((item_type = 'market_box'::text) AND (offering_id IS NOT NULL) AND (term_weeks IS NOT NULL)))
catering_requests,catering_requests_event_setting_check,"((event_setting IS NULL) OR (event_setting = ANY (ARRAY['indoor'::text, 'outdoor'::text, 'either'::text])))"
catering_requests,catering_requests_status_check,"(status = ANY (ARRAY['new'::text, 'reviewing'::text, 'approved'::text, 'declined'::text, 'ready'::text, 'active'::text, 'review'::text, 'completed'::text, 'cancelled'::text]))"
catering_requests,ck_catering_requests_vendor_fee_non_negative,((event_vendor_fee_cents IS NULL) OR (event_vendor_fee_cents >= 0))
catering_requests,ck_company_max_per_attendee_positive,((company_max_per_attendee_cents IS NULL) OR (company_max_per_attendee_cents > 0))
catering_requests,ck_event_requires_times,((event_date IS NULL) OR ((event_start_time IS NOT NULL) AND (event_end_time IS NOT NULL)))
cause_beneficiaries,cause_beneficiaries_remit_method_check,"(remit_method = ANY (ARRAY['connect'::text, 'check'::text]))"
cause_campaigns,cause_campaigns_check,(ends_at > starts_at)
cause_ledger,cause_ledger_type_check,"(type = ANY (ARRAY['collected'::text, 'remitted'::text, 'reversed'::text]))"
cause_remittances,cause_remittances_amount_cents_check,(amount_cents > 0)
cause_remittances,cause_remittances_method_check,"(method = ANY (ARRAY['connect'::text, 'check'::text]))"
cause_remittances,cause_remittances_status_check,"(status = ANY (ARRAY['pending'::text, 'paid'::text, 'failed'::text]))"
error_logs,error_logs_severity_check,"(severity = ANY (ARRAY['low'::text, 'medium'::text, 'high'::text, 'critical'::text]))"
error_reports,error_reports_escalation_level_check,"(escalation_level = ANY (ARRAY['vertical_admin'::text, 'platform_admin'::text]))"
error_reports,error_reports_status_check,"(status = ANY (ARRAY['pending'::text, 'acknowledged'::text, 'escalated'::text, 'in_progress'::text, 'resolved'::text, 'duplicate'::text, 'cannot_reproduce'::text]))"
error_resolutions,error_resolutions_status_check,"(status = ANY (ARRAY['pending'::text, 'verified'::text, 'failed'::text, 'partial'::text]))"
event_change_requests,ck_ecr_decline_needs_reason,((status <> 'declined'::text) OR ((review_note IS NOT NULL) AND (length(btrim(review_note)) > 0)))
event_change_requests,ck_ecr_resolved_has_reviewer,"((status <> ALL (ARRAY['approved'::text, 'declined'::text])) OR ((reviewed_by IS NOT NULL) AND (reviewed_at IS NOT NULL)))"
event_change_requests,ck_ecr_value_non_negative,(preorder_value_cents_at_request >= 0)
event_change_requests,event_change_requests_explanation_check,((length(btrim(explanation)) >= 10) AND (length(btrim(explanation)) <= 1000))
event_change_requests,event_change_requests_order_action_check,"((order_action IS NULL) OR (order_action = ANY (ARRAY['refund_all'::text, 'keep_all'::text, 'handled_manually'::text])))"
event_change_requests,event_change_requests_preorder_count_at_request_check,(preorder_count_at_request >= 0)
event_change_requests,event_change_requests_reason_category_check,"(reason_category = ANY (ARRAY['venue_cancelled'::text, 'weather_safety'::text, 'personal_emergency'::text, 'venue_scheduling_conflict'::text, 'wrong_date_booked'::text, 'other'::text]))"
event_change_requests,event_change_requests_status_check,"(status = ANY (ARRAY['pending'::text, 'approved'::text, 'declined'::text, 'withdrawn'::text, 'expired'::text]))"
event_company_payments,ck_event_company_payments_positive,(amount_cents > 0)
event_company_payments,ck_event_company_payments_status,"(status = ANY (ARRAY['pending'::text, 'paid'::text, 'refunded'::text]))"
event_company_payments,ck_event_company_payments_type,"(payment_type = ANY (ARRAY['deposit'::text, 'final_settlement'::text]))"
event_ratings,event_ratings_rating_check,((rating >= 1) AND (rating <= 5))
event_ratings,event_ratings_status_check,"(status = ANY (ARRAY['pending'::text, 'approved'::text, 'hidden'::text]))"
event_vendor_fee_payments,ck_evfp_status,"(status = ANY (ARRAY['pending_payment'::text, 'paid'::text, 'refunded'::text, 'released'::text, 'forfeited'::text, 'covered'::text]))"
event_vendor_fee_payments,event_vendor_fee_payments_fee_cents_check,(fee_cents > 0)
event_vendor_fee_payments,event_vendor_fee_payments_organizer_receives_cents_check,(organizer_receives_cents >= 0)
event_vendor_fee_payments,event_vendor_fee_payments_platform_keeps_cents_check,(platform_keeps_cents >= 0)
event_vendor_fee_payments,event_vendor_fee_payments_vendor_pays_cents_check,(vendor_pays_cents > 0)
event_vendor_listings,event_vendor_listings_host_status_check,"(host_status = ANY (ARRAY['approved'::text, 'declined'::text]))"
event_wave_reservations,ck_event_wave_reservations_status,"(status = ANY (ARRAY['reserved'::text, 'ordered'::text, 'cancelled'::text, 'walk_up'::text]))"
event_wave_reservations,ck_ordered_requires_order_id,((status <> 'ordered'::text) OR (order_id IS NOT NULL))
event_waves,ck_event_waves_no_overbook,(reserved_count <= capacity)
event_waves,ck_event_waves_positive_capacity,(capacity > 0)
event_waves,ck_event_waves_positive_number,(wave_number > 0)
event_waves,ck_event_waves_valid_status,"(status = ANY (ARRAY['open'::text, 'full'::text, 'closed'::text]))"
listings,listings_quantity_required_for_publish,((status <> 'published'::listing_status) OR ((quantity_amount IS NOT NULL) AND (quantity_unit IS NOT NULL)))
market_booth_inventory,market_booth_inventory_count_check,(count >= 0)
market_booth_inventory,market_booth_inventory_weekly_price_cents_check,(weekly_price_cents >= 0)
market_box_offerings,market_box_offerings_pickup_day_of_week_check,((pickup_day_of_week >= 0) AND (pickup_day_of_week <= 6))
market_box_pickups,market_box_pickups_week_number_check,((week_number >= 1) AND (week_number <= 16))
market_box_subscriptions,ck_subscription_pickup_frequency,"(pickup_frequency = ANY (ARRAY['weekly'::text, 'biweekly'::text]))"
market_box_subscriptions,market_box_subscriptions_term_weeks_check,"(term_weeks = ANY (ARRAY[4, 8]))"
market_bundle_components,market_bundle_components_quantity_check,(quantity > 0)
market_bundles,market_bundles_cause_pct_check,((cause_pct >= 1) AND (cause_pct <= 100))
market_bundles,market_bundles_margin_cents_check,(margin_cents >= 0)
market_bundles,market_bundles_quantity_limit_check,(quantity_limit > 0)
market_bundles,market_bundles_quantity_sold_check,(quantity_sold >= 0)
market_bundles,market_bundles_status_check,"(status = ANY (ARRAY['draft'::text, 'pending_approval'::text, 'active'::text, 'archived'::text, 'rejected'::text]))"
market_date_overrides,market_date_overrides_booth_disposition_check,"(booth_disposition = ANY (ARRAY['credit'::text, 'reschedule'::text]))"
market_date_overrides,market_date_overrides_status_check,"(status = ANY (ARRAY['cancelled'::text, 'special'::text]))"
market_day_checkins,market_day_checkins_method_check,"(method = ANY (ARRAY['self_attest'::text, 'geolocation'::text, 'manager'::text, 'qr'::text]))"
market_documents,market_documents_document_type_check,"(document_type = ANY (ARRAY['legal_entity_filing'::text, 'owners_managers_list'::text, 'market_website'::text, 'insurance_coi'::text, 'venue_proof'::text, 'other'::text]))"
market_documents,market_documents_file_size_bytes_check,(file_size_bytes > 0)
market_manager_history,market_manager_history_check,((ended_at IS NULL) OR (ended_at >= assigned_at))
market_optin_statement_catalog,market_optin_statement_catalog_category_check,"(category = ANY (ARRAY['product_quality'::text, 'conduct'::text, 'insurance'::text, 'fees'::text, 'compliance'::text]))"
market_schedules,market_schedules_day_of_week_check,((day_of_week >= 0) AND (day_of_week <= 6))
market_seasons,market_seasons_dates_ok,(end_date >= start_date)
market_seasons,market_seasons_potential_makeup_days_ok,((potential_makeup_days = 0) OR (potential_makeup_days >= 2))
market_seasons,market_seasons_refund_cap_days_check,(refund_cap_days >= 0)
market_seasons,market_seasons_status_check,"(status = ANY (ARRAY['draft'::text, 'open'::text, 'active'::text, 'ended'::text, 'settled'::text]))"
market_surveys,ck_market_surveys_audience_xor,(((kind = 'vendor'::text) AND (vendor_profile_id IS NOT NULL) AND (buyer_user_id IS NULL)) OR ((kind = 'buyer'::text) AND (buyer_user_id IS NOT NULL) AND (vendor_profile_id IS NULL)))
market_surveys,market_surveys_kind_check,"(kind = ANY (ARRAY['vendor'::text, 'buyer'::text]))"
market_surveys,market_surveys_rating_accessibility_check,((rating_accessibility >= 1) AND (rating_accessibility <= 5))
market_surveys,market_surveys_rating_atmosphere_check,((rating_atmosphere >= 1) AND (rating_atmosphere <= 5))
market_surveys,market_surveys_rating_foot_traffic_check,((rating_foot_traffic >= 1) AND (rating_foot_traffic <= 5))
market_surveys,market_surveys_rating_layout_check,((rating_layout >= 1) AND (rating_layout <= 5))
market_surveys,market_surveys_rating_manager_support_check,((rating_manager_support >= 1) AND (rating_manager_support <= 5))
market_surveys,market_surveys_rating_market_organization_check,((rating_market_organization >= 1) AND (rating_market_organization <= 5))
market_surveys,market_surveys_rating_overall_check,((rating_overall >= 1) AND (rating_overall <= 5))
market_surveys,market_surveys_rating_quality_check,((rating_quality >= 1) AND (rating_quality <= 5))
market_surveys,market_surveys_rating_sales_check,((rating_sales >= 1) AND (rating_sales <= 5))
market_surveys,market_surveys_rating_variety_check,((rating_variety >= 1) AND (rating_variety <= 5))
market_vendors,market_vendors_response_status_check,"(response_status = ANY (ARRAY['invited'::text, 'accepted'::text, 'declined'::text, 'cancelled'::text]))"
markets,ck_markets_tax_rate_ceiling,((tax_rate_total_pct IS NULL) OR ((tax_rate_total_pct >= (0)::numeric) AND (tax_rate_total_pct <= 8.25)))
markets,markets_day_of_week_check,((day_of_week >= 0) AND (day_of_week <= 6))
markets,markets_event_dates_check,((market_type <> 'event'::text) OR ((event_start_date IS NOT NULL) AND (event_end_date IS NOT NULL) AND (event_end_date >= event_start_date)))
markets,markets_manager_status_check,"(manager_status = ANY (ARRAY['active'::text, 'suspended'::text]))"
markets,markets_market_type_check,"(market_type = ANY (ARRAY['traditional'::text, 'private_pickup'::text, 'event'::text]))"
markets,markets_operator_keep_pct_check,((operator_keep_pct >= 0.935) AND (operator_keep_pct <= 1.000))
markets,markets_park_mode_check,"(park_mode = ANY (ARRAY['free'::text, 'paid'::text]))"
markets,markets_status_check,"(status = ANY (ARRAY['pending'::text, 'active'::text, 'inactive'::text, 'rejected'::text, 'suspended'::text]))"
markets,valid_market_status,"(status = ANY (ARRAY['pending'::text, 'active'::text, 'inactive'::text, 'rejected'::text]))"
order_items,order_items_cancelled_by_check,"(cancelled_by = ANY (ARRAY['buyer'::text, 'vendor'::text, 'system'::text]))"
order_items,order_items_issue_status_check,"(issue_status = ANY (ARRAY['new'::text, 'in_review'::text, 'resolved'::text, 'closed'::text]))"
