tablename,indexname,indexdef
admin_activity_log,admin_activity_log_pkey,CREATE UNIQUE INDEX admin_activity_log_pkey ON public.admin_activity_log USING btree (id)
admin_activity_log,idx_admin_activity_log_created_at,CREATE INDEX idx_admin_activity_log_created_at ON public.admin_activity_log USING btree (created_at DESC)
admin_activity_log,idx_admin_activity_log_performed_by,CREATE INDEX idx_admin_activity_log_performed_by ON public.admin_activity_log USING btree (performed_by)
admin_activity_log,idx_admin_activity_log_target,CREATE INDEX idx_admin_activity_log_target ON public.admin_activity_log USING btree (target_user_id)
admin_activity_log,idx_admin_activity_log_vertical,CREATE INDEX idx_admin_activity_log_vertical ON public.admin_activity_log USING btree (vertical_id)
audit_log,audit_log_pkey,CREATE UNIQUE INDEX audit_log_pkey ON public.audit_log USING btree (id)
audit_log,idx_audit_log_created,CREATE INDEX idx_audit_log_created ON public.audit_log USING btree (created_at)
audit_log,idx_audit_log_table,CREATE INDEX idx_audit_log_table ON public.audit_log USING btree (table_name)
audit_log,idx_audit_log_user,CREATE INDEX idx_audit_log_user ON public.audit_log USING btree (user_id)
booth_booking_groups,booth_booking_groups_pkey,CREATE UNIQUE INDEX booth_booking_groups_pkey ON public.booth_booking_groups USING btree (id)
booth_booking_groups,idx_booth_groups_market,"CREATE INDEX idx_booth_groups_market ON public.booth_booking_groups USING btree (market_id, created_at DESC)"
booth_booking_groups,idx_booth_groups_season,CREATE INDEX idx_booth_groups_season ON public.booth_booking_groups USING btree (season_id) WHERE (season_id IS NOT NULL)
booth_booking_groups,idx_booth_groups_vendor,"CREATE INDEX idx_booth_groups_vendor ON public.booth_booking_groups USING btree (vendor_profile_id, created_at DESC)"
booth_credits,booth_credits_pkey,CREATE UNIQUE INDEX booth_credits_pkey ON public.booth_credits USING btree (id)
booth_credits,idx_booth_credits_park_booking,CREATE INDEX idx_booth_credits_park_booking ON public.booth_credits USING btree (related_park_booking_id) WHERE (related_park_booking_id IS NOT NULL)
booth_credits,idx_booth_credits_related_rental,CREATE INDEX idx_booth_credits_related_rental ON public.booth_credits USING btree (related_rental_id) WHERE (related_rental_id IS NOT NULL)
booth_credits,idx_booth_credits_vendor_market,"CREATE INDEX idx_booth_credits_vendor_market ON public.booth_credits USING btree (vendor_profile_id, market_id)"
booth_credits,uq_booth_credit_park_booking_grant,CREATE UNIQUE INDEX uq_booth_credit_park_booking_grant ON public.booth_credits USING btree (related_park_booking_id) WHERE ((source = 'park_date_cancel'::text) AND (related_park_booking_id IS NOT NULL))
buyer_achievements,buyer_achievements_pkey,CREATE UNIQUE INDEX buyer_achievements_pkey ON public.buyer_achievements USING btree (id)
buyer_achievements,idx_buyer_achievements_user,"CREATE INDEX idx_buyer_achievements_user ON public.buyer_achievements USING btree (user_id, vertical_id)"
buyer_achievements,idx_buyer_achievements_vendor,CREATE INDEX idx_buyer_achievements_vendor ON public.buyer_achievements USING btree (vendor_profile_id) WHERE (vendor_profile_id IS NOT NULL)
buyer_achievements,uq_buyer_achievements_once,"CREATE UNIQUE INDEX uq_buyer_achievements_once ON public.buyer_achievements USING btree (user_id, vertical_id, badge_key, COALESCE(vendor_profile_id, '00000000-0000-0000-0000-000000000000'::uuid))"
buyer_interests,buyer_interests_pkey,CREATE UNIQUE INDEX buyer_interests_pkey ON public.buyer_interests USING btree (id)
buyer_interests,idx_buyer_interests_created,CREATE INDEX idx_buyer_interests_created ON public.buyer_interests USING btree (created_at DESC)
buyer_interests,idx_buyer_interests_email_vertical,"CREATE UNIQUE INDEX idx_buyer_interests_email_vertical ON public.buyer_interests USING btree (email, vertical_id) WHERE (email IS NOT NULL)"
buyer_interests,idx_buyer_interests_vertical,CREATE INDEX idx_buyer_interests_vertical ON public.buyer_interests USING btree (vertical_id)
buyer_interests,idx_buyer_interests_zip,CREATE INDEX idx_buyer_interests_zip ON public.buyer_interests USING btree (zip_code) WHERE (zip_code IS NOT NULL)
buyer_search_log,buyer_search_log_pkey,CREATE UNIQUE INDEX buyer_search_log_pkey ON public.buyer_search_log USING btree (id)
buyer_search_log,idx_bsl_vertical_created,"CREATE INDEX idx_bsl_vertical_created ON public.buyer_search_log USING btree (vertical_id, created_at DESC)"
buyer_search_log,idx_bsl_zero_results,"CREATE INDEX idx_bsl_zero_results ON public.buyer_search_log USING btree (vertical_id, created_at DESC) WHERE (results_count = 0)"
buyer_search_log,idx_bsl_zip_vertical,"CREATE INDEX idx_bsl_zip_vertical ON public.buyer_search_log USING btree (zip_code, vertical_id) WHERE (zip_code IS NOT NULL)"
cart_items,cart_items_cart_listing_legacy_key,"CREATE UNIQUE INDEX cart_items_cart_listing_legacy_key ON public.cart_items USING btree (cart_id, listing_id) WHERE (schedule_id IS NULL)"
