trigger_name,table_name,event,timing,action_statement
trg_booth_group_market,booth_booking_groups,INSERT,BEFORE,EXECUTE FUNCTION check_booth_group_market_integrity()
trg_booth_group_market,booth_booking_groups,UPDATE,BEFORE,EXECUTE FUNCTION check_booth_group_market_integrity()
trg_booth_groups_updated_at,booth_booking_groups,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
set_cart_items_updated_at,cart_items,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
set_carts_updated_at,carts,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
set_catering_requests_updated_at,catering_requests,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_cleanup_cancelled_event,catering_requests,UPDATE,AFTER,EXECUTE FUNCTION cleanup_cancelled_event()
trg_sync_event_request_to_market,catering_requests,UPDATE,AFTER,EXECUTE FUNCTION sync_event_request_to_market()
error_reports_updated_at,error_reports,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
error_resolutions_updated_at,error_resolutions,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
update_event_change_requests_updated_at,event_change_requests,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
update_event_ratings_updated_at,event_ratings,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
update_event_vendor_fee_payments_updated_at,event_vendor_fee_payments,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
update_fulfillments_updated_at,fulfillments,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_vlc_listing_market_change,listing_markets,INSERT,AFTER,EXECUTE FUNCTION trg_refresh_vendor_location()
trg_vlc_listing_market_change,listing_markets,DELETE,AFTER,EXECUTE FUNCTION trg_refresh_vendor_location()
enforce_listing_limit_trigger,listings,INSERT,BEFORE,EXECUTE FUNCTION enforce_listing_tier_limit()
enforce_listing_limit_trigger,listings,UPDATE,BEFORE,EXECUTE FUNCTION enforce_listing_tier_limit()
trg_vlc_listing_change,listings,UPDATE,AFTER,EXECUTE FUNCTION trg_refresh_vendor_location()
trg_vlc_listing_change,listings,DELETE,AFTER,EXECUTE FUNCTION trg_refresh_vendor_location()
trg_vlc_listing_change,listings,INSERT,AFTER,EXECUTE FUNCTION trg_refresh_vendor_location()
trigger_listing_premium_window,listings,INSERT,BEFORE,EXECUTE FUNCTION set_listing_premium_window()
trigger_listing_premium_window,listings,UPDATE,BEFORE,EXECUTE FUNCTION set_listing_premium_window()
update_listings_updated_at,listings,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
vendor_activity_listing_trigger,listings,UPDATE,AFTER,EXECUTE FUNCTION update_vendor_activity_on_listing()
vendor_activity_listing_trigger,listings,INSERT,AFTER,EXECUTE FUNCTION update_vendor_activity_on_listing()
trg_market_booth_inventory_updated_at,market_booth_inventory,UPDATE,BEFORE,EXECUTE FUNCTION update_market_booth_inventory_updated_at()
trg_booth_placeholder_inventory_market,market_booth_placeholders,INSERT,BEFORE,EXECUTE FUNCTION check_booth_placeholder_inventory_market()
trg_booth_placeholder_inventory_market,market_booth_placeholders,UPDATE,BEFORE,EXECUTE FUNCTION check_booth_placeholder_inventory_market()
trg_market_booth_placeholders_updated_at,market_booth_placeholders,UPDATE,BEFORE,EXECUTE FUNCTION update_market_booth_placeholders_updated_at()
trg_placeholder_booth_unique,market_booth_placeholders,INSERT,BEFORE,EXECUTE FUNCTION check_booth_number_uniqueness()
trg_placeholder_booth_unique,market_booth_placeholders,UPDATE,BEFORE,EXECUTE FUNCTION check_booth_number_uniqueness()
enforce_market_box_limit_trigger,market_box_offerings,UPDATE,BEFORE,EXECUTE FUNCTION enforce_market_box_tier_limit()
enforce_market_box_limit_trigger,market_box_offerings,INSERT,BEFORE,EXECUTE FUNCTION enforce_market_box_tier_limit()
trigger_market_box_premium_window,market_box_offerings,INSERT,BEFORE,EXECUTE FUNCTION set_market_box_premium_window()
trigger_market_box_premium_window,market_box_offerings,UPDATE,BEFORE,EXECUTE FUNCTION set_market_box_premium_window()
trigger_check_subscription_completion,market_box_pickups,UPDATE,AFTER,EXECUTE FUNCTION check_subscription_completion()
trigger_create_market_box_pickups,market_box_subscriptions,INSERT,AFTER,EXECUTE FUNCTION create_market_box_pickups()
update_market_day_checkins_updated_at,market_day_checkins,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trigger_auto_add_schedule_to_vendors,market_schedules,INSERT,AFTER,EXECUTE FUNCTION auto_add_schedule_to_vendors()
trigger_auto_add_schedule_to_vendors_update,market_schedules,UPDATE,AFTER,EXECUTE FUNCTION auto_add_schedule_to_vendors()
trigger_cart_cleanup_on_schedule_change,market_schedules,UPDATE,AFTER,EXECUTE FUNCTION trigger_cleanup_cart_on_schedule_change()
trigger_cart_cleanup_on_schedule_change,market_schedules,DELETE,AFTER,EXECUTE FUNCTION trigger_cleanup_cart_on_schedule_change()
trigger_market_schedule_deactivation,market_schedules,UPDATE,AFTER,EXECUTE FUNCTION handle_market_schedule_deactivation()
trg_market_seasons_updated_at,market_seasons,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_market_vendor_inventory_market,market_vendors,UPDATE,BEFORE,EXECUTE FUNCTION check_market_vendor_inventory_market()
trg_market_vendor_inventory_market,market_vendors,INSERT,BEFORE,EXECUTE FUNCTION check_market_vendor_inventory_market()
trg_mv_booth_unique,market_vendors,INSERT,BEFORE,EXECUTE FUNCTION check_booth_number_uniqueness()
trg_mv_booth_unique,market_vendors,UPDATE,BEFORE,EXECUTE FUNCTION check_booth_number_uniqueness()
trigger_auto_create_vendor_schedules,market_vendors,UPDATE,AFTER,EXECUTE FUNCTION auto_create_vendor_schedules()
trigger_auto_create_vendor_schedules_insert,market_vendors,INSERT,AFTER,EXECUTE FUNCTION auto_create_vendor_schedules_insert()
set_markets_updated_at,markets,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_clear_tax_jurisdiction_verification,markets,UPDATE,BEFORE,EXECUTE FUNCTION clear_tax_jurisdiction_verification_on_address_change()
trg_vlc_market_coords_change,markets,UPDATE,AFTER,EXECUTE FUNCTION trg_refresh_vendor_location()
trg_vlc_market_status_change,markets,UPDATE,AFTER,EXECUTE FUNCTION trg_refresh_vendor_location()
order_items_updated_at,order_items,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
