proname,args,owner
atomic_complete_order_if_ready,p_order_id uuid,application
atomic_decrement_inventory,"p_listing_id uuid, p_quantity integer",application
atomic_increment_bundle_sold,"p_bundle_id uuid, p_quantity integer",application
atomic_release_bundle_sold,"p_bundle_id uuid, p_quantity integer",application
atomic_restore_inventory,"p_listing_id uuid, p_quantity integer",application
auto_add_schedule_to_vendors,,application
auto_cancel_order_if_all_items_cancelled,,application
auto_create_vendor_schedules,,application
auto_create_vendor_schedules_insert,,application
auto_create_vendor_verification,,application
award_referral_credit_on_first_sale,,application
book_park_spot_atomic,"p_vendor_profile_id uuid, p_market_id uuid, p_spot_id uuid, p_booking_dates date[], p_group_id uuid, p_acceptance_id uuid",application
book_season_atomic,"p_vendor_profile_id uuid, p_market_id uuid, p_inventory_id uuid, p_acceptance_id uuid, p_season_id uuid, p_kind text, p_week_start_dates date[], p_purchase_date date",application
book_weekly_booth_atomic,"p_vendor_profile_id uuid, p_market_id uuid, p_inventory_id uuid, p_week_start_date date, p_acceptance_id uuid",application
build_pickup_snapshot,"p_schedule_id uuid, p_pickup_date date",application
calculate_order_item_expiration,"p_pickup_date date, p_vertical_id text, p_created_at timestamp with time zone",application
calculate_order_item_expiration,"p_pickup_date date, p_buffer_hours integer",application
can_access_pickup,p_subscription_id uuid,application
can_access_subscription,sub_id uuid,application
can_admin_market,p_market_id uuid,application
can_admin_order,p_order_id uuid,application
can_admin_vendor,p_vendor_profile_id uuid,application
can_delete_schedule,p_schedule_id uuid,application
can_vendor_add_fixed_market,"p_vendor_profile_id uuid, p_vertical_id text",application
can_vendor_add_listing_to_market,"p_vendor_profile_id uuid, p_market_id uuid, p_listing_id uuid",application
can_vendor_publish,"p_vendor_profile_id uuid, p_category text",application
cancel_season_group,"p_group_id uuid, p_reason text",application
cancel_wave_reservation,"p_reservation_id uuid, p_user_id uuid",application
check_booth_group_market_integrity,,application
check_booth_number_uniqueness,,application
check_booth_placeholder_inventory_market,,application
check_market_vendor_inventory_market,,application
check_park_spot_booking_market,,application
check_park_standing_market,,application
check_pickup_slot_capacity,"p_vendor_profile_id uuid, p_market_id uuid, p_pickup_date date, p_pickup_time time without time zone, p_adding_items integer, p_order_id uuid",application
check_subscription_completion,,application
check_vendor_schedule_conflict,,application
check_weekly_booth_rental_inventory_market,,application
claim_vendor_fee_deduction,"p_vendor_profile_id uuid, p_order_id uuid, p_order_item_id uuid, p_max_deduct_cents integer",application
cleanup_cancelled_event,,application
cleanup_cart_items_invalid_schedules,,application
clear_email_suppression_on_change,,application
clear_tax_jurisdiction_verification_on_address_change,,application
confirm_season_paid,"p_group_id uuid, p_payment_intent text",application
create_company_paid_order,"p_user_id uuid, p_market_id uuid, p_reservation_id uuid, p_listing_id uuid, p_vendor_profile_id uuid, p_wave_id uuid",application
create_event_fee_payment_if_eligible,"p_market_id uuid, p_vendor_profile_id uuid, p_fee_cents integer, p_vendor_pays_cents integer, p_organizer_receives_cents integer, p_platform_keeps_cents integer",application
create_market_box_pickups,,application
create_profile_for_user,,application
enforce_listing_tier_limit,,application
enforce_market_box_tier_limit,,application
ensure_admin_premium_tier,,application
ensure_user_profile,"p_user_id uuid, p_email text, p_display_name text",application
find_next_available_wave,p_market_id uuid,application
free_wave_on_order_cancel,p_order_id uuid,application
generate_vendor_referral_code,vendor_id uuid,application
get_available_pickup_dates,p_listing_id uuid,application
get_booth_credit_expiry_state,,application
get_buyer_order_ids,,application
get_cart_summary,p_cart_id uuid,application
get_event_waves_with_availability,p_market_id uuid,application
get_listing_fields,v_id text,application
get_listing_market_availability,p_listing_id uuid,application
get_listing_markets_summary,p_listing_id uuid,application
get_listing_open_markets,p_listing_id uuid,application
get_listings_accepting_status,"p_listing_ids uuid[], p_exclude_event_markets boolean",application
get_listings_within_radius,"user_lat numeric, user_lng numeric, radius_miles numeric, vertical_filter text, category_filter text, search_term text, page_size integer, page_offset integer",application
get_market_cutoff,p_market_id uuid,application
get_markets_within_radius,"user_lat numeric, user_lng numeric, radius_meters numeric, vertical_filter text, market_type_filter text",application
get_nearby_zip_codes,"user_lat numeric, user_lng numeric, limit_count integer",application
get_next_market_datetime,"p_day_of_week integer, p_start_time time without time zone, p_timezone text",application
get_or_create_cart,"p_user_id uuid, p_vertical_id text",application
get_region_zip_codes,region character varying,application
get_schedule_active_order_count,p_schedule_id uuid,application
get_user_admin_verticals,,application
get_user_vendor_ids,,application
get_vendor_fields,v_id text,application
get_vendor_fixed_market_count,"p_vendor_profile_id uuid, p_vertical_id text",application
get_vendor_fixed_market_limit,p_vendor_profile_id uuid,application
get_vendor_listing_count_at_market,"p_vendor_profile_id uuid, p_market_id uuid",application
get_vendor_next_pickup_date,"p_vendor_profile_id uuid, p_market_id uuid, p_from_date date",application
get_vendor_order_ids,,application
get_vendors_within_radius,"user_lat numeric, user_lng numeric, radius_meters numeric, vertical_filter text",application
get_vertical_config,v_id text,application
get_zip_coordinates,zip_code character varying,application
guard_order_item_buyer_ack,,application
guard_order_status_actor,,application
handle_market_schedule_deactivation,,application
handle_new_user,,application
has_role,check_role user_role,application
has_role,check_role text,application
increment_vendor_cancelled,p_vendor_id uuid,application
increment_vendor_confirmed,p_vendor_id uuid,application
is_admin,,application
is_admin_for_vertical,p_vertical_id text,application
is_any_admin,,application
is_event_market,m_id uuid,application
is_event_organizer,cr_id uuid,application
is_listing_accepting_orders,p_listing_id uuid,application
is_order_buyer,order_uuid uuid,application
is_platform_admin,,application
is_private_event_market,m_id uuid,application
is_regional_admin,,application
is_verifier,,application
is_vertical_admin,p_vertical_id text,application
mark_event_fee_paid_if_capacity,"p_payment_id uuid, p_session_id text, p_payment_intent_id text",application
notify_transaction_status_change,,application
recalculate_wave_capacity,p_market_id uuid,application
redeem_booth_credit,"p_vendor_profile_id uuid, p_market_id uuid, p_group_id uuid, p_requested_cents integer, p_rental_id uuid, p_park_booking_id uuid",application
refresh_all_vendor_locations,,application
refresh_vendor_location,p_vendor_id uuid,application
replace_market_optin_selections,"p_market_id uuid, p_selections jsonb",application
reserve_event_wave,"p_wave_id uuid, p_market_id uuid, p_user_id uuid",application
scan_vendor_activity,p_vertical_id text,application
set_default_vendor_tier,,application
set_ft_default_tier,,application
set_listing_premium_window,,application
set_market_box_premium_window,,application
set_order_item_expiration,,application
soft_delete,,application
subscribe_to_market_box_if_capacity,"p_offering_id uuid, p_buyer_user_id uuid, p_order_id uuid, p_total_paid_cents integer, p_start_date date, p_term_weeks integer, p_stripe_payment_intent_id text, p_pickup_frequency text",application
subscribe_to_market_box_if_capacity,"p_offering_id uuid, p_buyer_user_id uuid, p_order_id uuid, p_total_paid_cents integer, p_start_date date, p_term_weeks integer, p_stripe_payment_intent_id text",application
sync_event_request_to_market,,application
sync_verification_status,,application
track_vendor_status_change,,application
trg_refresh_vendor_location,,application
trigger_cleanup_cart_on_schedule_change,,application
trigger_generate_referral_code,,application
update_error_reports_updated_at,,application
update_error_resolutions_updated_at,,application
update_market_booth_inventory_updated_at,,application
update_market_booth_placeholders_updated_at,,application
update_support_tickets_updated_at,,application
update_updated_at_column,,application
update_vendor_activity_on_listing,,application
update_vendor_activity_on_order,,application
update_vendor_fee_balance,,application
update_vendor_last_login,,application
update_vendor_rating_stats,,application
update_weekly_booth_rentals_updated_at,,application
user_buyer_order_ids,,application
user_is_subscription_buyer,sub_id uuid,application
user_is_subscription_vendor,sub_id uuid,application
user_owns_vendor,vendor_id uuid,application
user_vendor_market_ids,,application
user_vendor_order_ids,,application
user_vendor_profile_ids,,application
validate_cart_item_inventory,"p_listing_id uuid, p_quantity integer",application
validate_cart_item_market,"p_listing_id uuid, p_market_id uuid",application
validate_cart_item_schedule,"p_listing_id uuid, p_schedule_id uuid, p_pickup_date date",application
validate_pickup_slot_time,"p_vendor_profile_id uuid, p_market_id uuid, p_pickup_date date, p_pickup_time time without time zone",application
vendor_has_active_schedules,"p_vendor_profile_id uuid, p_market_id uuid",application
vendor_skip_week,"p_pickup_id uuid, p_reason text",application
_postgis_deprecate,"oldname text, newname text, version text",postgis
_postgis_index_extent,"tbl regclass, col text",postgis
_postgis_join_selectivity,"regclass, text, regclass, text, text",postgis
_postgis_pgsql_version,,postgis
_postgis_scripts_pgsql_version,,postgis
_postgis_selectivity,"tbl regclass, att_name text, geom geometry, mode text",postgis
_postgis_stats,"tbl regclass, att_name text, text",postgis
